id,code,display
442,"Nambe","Nambe"
443,"Picuris","Picuris"
444,"Piro","Piro"
445,"Pojoaque","Pojoaque"
446,"San Felipe","San Felipe"
447,"San Ildefonso","San Ildefonso"
448,"San Juan Pueblo","San Juan Pueblo"
449,"San Juan De","San Juan De"
450,"San Juan","San Juan"
451,"Sandia","Sandia"
452,"Santa Ana","Santa Ana"
453,"Santa Clara","Santa Clara"
454,"Santo Domingo","Santo Domingo"
455,"Taos","Taos"
456,"Tesuque","Tesuque"
457,"Tewa","Tewa"
458,"Tigua","Tigua"
459,"Zia","Zia"
460,"Zuni","Zuni"
461,"Puget Sound Salish","Puget Sound Salish"
462,"Duwamish","Duwamish"
463,"Kikiallus","Kikiallus"
464,"Lower Skagit","Lower Skagit"
465,"Muckleshoot","Muckleshoot"
466,"Nisqually","Nisqually"
467,"Nooksack","Nooksack"
468,"Port Madison","Port Madison"
469,"Puyallup","Puyallup"
470,"Samish","Samish"
471,"Sauk-Suiattle","Sauk-Suiattle"
472,"Skokomish","Skokomish"
473,"Skykomish","Skykomish"
474,"Snohomish","Snohomish"
475,"Snoqualmie","Snoqualmie"
476,"Squaxin Island","Squaxin Island"
477,"Steilacoom","Steilacoom"
478,"Stillaguamish","Stillaguamish"
479,"Suquamish","Suquamish"
480,"Swinomish","Swinomish"
481,"Tulalip","Tulalip"
482,"Upper Skagit","Upper Skagit"
483,"Quapaw","Quapaw"
484,"Quinault","Quinault"
485,"Rappahannock","Rappahannock"
486,"Reno-Sparks","Reno-Sparks"
487,"Round Valley","Round Valley"
488,"Sac and Fox","Sac and Fox"
489,"Iowa Sac and Fox","Iowa Sac and Fox"
490,"Missouri Sac and Fox","Missouri Sac and Fox"
491,"Oklahoma Sac and Fox","Oklahoma Sac and Fox"
492,"Salinan","Salinan"
493,"Salish","Salish"
494,"Salish and Kootenai","Salish and Kootenai"
495,"Schaghticoke","Schaghticoke"
496,"Scott Valley","Scott Valley"
497,"Seminole","Seminole"
498,"Big Cypress","Big Cypress"
499,"Brighton","Brighton"
500,"Florida Seminole","Florida Seminole"
501,"Hollywood Seminole","Hollywood Seminole"
502,"Oklahoma Seminole","Oklahoma Seminole"
503,"Serrano","Serrano"
504,"San Manual","San Manual"
505,"Shasta","Shasta"
506,"Shawnee","Shawnee"
507,"Absentee Shawnee","Absentee Shawnee"
508,"Eastern Shawnee","Eastern Shawnee"
509,"Shinnecock","Shinnecock"
510,"Shoalwater Bay","Shoalwater Bay"
511,"Shoshone","Shoshone"
512,"Battle Mountain","Battle Mountain"
513,"Duckwater","Duckwater"
514,"Elko","Elko"
515,"Ely","Ely"
516,"Goshute","Goshute"
517,"Panamint","Panamint"
518,"Ruby Valley","Ruby Valley"
519,"Skull Valley","Skull Valley"
520,"South Fork Shoshone","South Fork Shoshone"
521,"Te-Moak Western Shoshone","Te-Moak Western Shoshone"
522,"Timbi-Sha Shoshone","Timbi-Sha Shoshone"
523,"Washakie","Washakie"
524,"Wind River Shoshone","Wind River Shoshone"
525,"Yomba","Yomba"
526,"Shoshone Paiute","Shoshone Paiute"
527,"Duck Valley","Duck Valley"
528,"Fallon","Fallon"
529,"Fort McDermitt","Fort McDermitt"
530,"Siletz","Siletz"
531,"Sioux","Sioux"
532,"Blackfoot Sioux","Blackfoot Sioux"
533,"Brule Sioux","Brule Sioux"
534,"Cheyenne River Sioux","Cheyenne River Sioux"
535,"Crow Creek Sioux","Crow Creek Sioux"
536,"Dakota Sioux","Dakota Sioux"
537,"Flandreau Santee","Flandreau Santee"
538,"Fort Peck","Fort Peck"
539,"Lake Traverse Sioux","Lake Traverse Sioux"
540,"Lower Brule Sioux","Lower Brule Sioux"
541,"Lower Sioux","Lower Sioux"
542,"Mdewakanton Sioux","Mdewakanton Sioux"
543,"Miniconjou","Miniconjou"
544,"Oglala Sioux","Oglala Sioux"
545,"Pine Ridge Sioux","Pine Ridge Sioux"
546,"Pipestone Sioux","Pipestone Sioux"
547,"Prairie Island Sioux","Prairie Island Sioux"
548,"Prior Lake Sioux","Prior Lake Sioux"
549,"Rosebud Sioux","Rosebud Sioux"
550,"Sans Arc Sioux","Sans Arc Sioux"
551,"Santee Sioux","Santee Sioux"
552,"Sisseton-Wahpeton","Sisseton-Wahpeton"
553,"Sisseton Sioux","Sisseton Sioux"
554,"Spirit Lake Sioux","Spirit Lake Sioux"
555,"Standing Rock Sioux","Standing Rock Sioux"
556,"Teton Sioux","Teton Sioux"
557,"Two Kettle Sioux","Two Kettle Sioux"
558,"Upper Sioux","Upper Sioux"
559,"Wahpekute Sioux","Wahpekute Sioux"
560,"Wahpeton Sioux","Wahpeton Sioux"
561,"Wazhaza Sioux","Wazhaza Sioux"
562,"Yankton Sioux","Yankton Sioux"
563,"Yanktonai Sioux","Yanktonai Sioux"
564,"Siuslaw","Siuslaw"
565,"Spokane","Spokane"
566,"Stewart","Stewart"
567,"Stockbridge","Stockbridge"
568,"Susanville","Susanville"
569,"Tohono O'Odham","Tohono O'Odham"
570,"Ak-Chin","Ak-Chin"
571,"Gila Bend","Gila Bend"
572,"San Xavier","San Xavier"
573,"Sells","Sells"
574,"Tolowa","Tolowa"
575,"Tonkawa","Tonkawa"
576,"Tygh","Tygh"
577,"Umatilla","Umatilla"
578,"Umpqua","Umpqua"
579,"Cow Creek Umpqua","Cow Creek Umpqua"
580,"Ute","Ute"
581,"Allen Canyon","Allen Canyon"
582,"Uintah Ute","Uintah Ute"
583,"Ute Mountain Ute","Ute Mountain Ute"
584,"Wailaki","Wailaki"
585,"Walla-Walla","Walla-Walla"
586,"Wampanoag","Wampanoag"
587,"Gay Head Wampanoag","Gay Head Wampanoag"
588,"Mashpee Wampanoag","Mashpee Wampanoag"
589,"Warm Springs","Warm Springs"
590,"Wascopum","Wascopum"
591,"Washoe","Washoe"
592,"Alpine","Alpine"
593,"Carson","Carson"
594,"Dresslerville","Dresslerville"
595,"Wichita","Wichita"
596,"Wind River","Wind River"
597,"Winnebago","Winnebago"
598,"Ho-chunk","Ho-chunk"
599,"Nebraska Winnebago","Nebraska Winnebago"
600,"Winnemucca","Winnemucca"
601,"Wintun","Wintun"
602,"Wiyot","Wiyot"
603,"Table Bluff","Table Bluff"
604,"Yakama","Yakama"
605,"Yakama Cowlitz","Yakama Cowlitz"
606,"Yaqui","Yaqui"
607,"Barrio Libre","Barrio Libre"
608,"Pascua Yaqui","Pascua Yaqui"
609,"Yavapai Apache","Yavapai Apache"
610,"Yokuts","Yokuts"
611,"Chukchansi","Chukchansi"
612,"Tachi","Tachi"
613,"Tule River","Tule River"
614,"Yuchi","Yuchi"
615,"Yuman","Yuman"
616,"Cocopah","Cocopah"
617,"Havasupai","Havasupai"
618,"Hualapai","Hualapai"
619,"Maricopa","Maricopa"
620,"Mohave","Mohave"
621,"Quechan","Quechan"
622,"Yavapai","Yavapai"
623,"Yurok","Yurok"
624,"Coast Yurok","Coast Yurok"
625,"Alaska Native","Alaska Native"
626,"Alaska Indian","Alaska Indian"
627,"Alaskan Athabascan","Alaskan Athabascan"
628,"Ahtna","Ahtna"
629,"Southeast Alaska","Southeast Alaska"
630,"Tlingit-Haida","Tlingit-Haida"
631,"Angoon","Angoon"
632,"Central Council of Tlingit and Haida Tribes","Central Council of Tlingit and Haida Tribes"
633,"Chilkat","Chilkat"
634,"Chilkoot","Chilkoot"
635,"Craig","Craig"
636,"Douglas","Douglas"
637,"Haida","Haida"
638,"Hoonah","Hoonah"
639,"Hydaburg","Hydaburg"
640,"Kake","Kake"
641,"Kasaan","Kasaan"
642,"Kenaitze","Kenaitze"
643,"Ketchikan","Ketchikan"
644,"Klawock","Klawock"
645,"Pelican","Pelican"
646,"Petersburg","Petersburg"
647,"Saxman","Saxman"
648,"Sitka","Sitka"
649,"Tenakee Springs","Tenakee Springs"
650,"Tlingit","Tlingit"
651,"Wrangell","Wrangell"
652,"Yakutat","Yakutat"
653,"Tsimshian","Tsimshian"
654,"Metlakatla","Metlakatla"
655,"Eskimo","Eskimo"
656,"Greenland Eskimo","Greenland Eskimo"
657,"Inupiat Eskimo","Inupiat Eskimo"
658,"Ambler","Ambler"
659,"Anaktuvuk","Anaktuvuk"
660,"Anaktuvuk Pass","Anaktuvuk Pass"
661,"Arctic Slope Inupiat","Arctic Slope Inupiat"
662,"Arctic Slope Corporation","Arctic Slope Corporation"
663,"Atqasuk","Atqasuk"
664,"Barrow","Barrow"
665,"Bering Straits Inupiat","Bering Straits Inupiat"
666,"Brevig Mission","Brevig Mission"
667,"Buckland","Buckland"
668,"Chinik","Chinik"
669,"Council","Council"
670,"Deering","Deering"
671,"Elim","Elim"
672,"Golovin","Golovin"
673,"Inalik Diomede","Inalik Diomede"
674,"Inupiaq","Inupiaq"
675,"Kaktovik","Kaktovik"
676,"Kawerak","Kawerak"
677,"Kiana","Kiana"
678,"Kivalina","Kivalina"
679,"Kobuk","Kobuk"
680,"Kotzebue","Kotzebue"
681,"Koyuk","Koyuk"
682,"Kwiguk","Kwiguk"
683,"Mauneluk Inupiat","Mauneluk Inupiat"
684,"Nana Inupiat","Nana Inupiat"
685,"Noatak","Noatak"
686,"Nome","Nome"
687,"Noorvik","Noorvik"
688,"Nuiqsut","Nuiqsut"
689,"Point Hope","Point Hope"
690,"Point Lay","Point Lay"
691,"Selawik","Selawik"
692,"Shaktoolik","Shaktoolik"
693,"Shishmaref","Shishmaref"
694,"Shungnak","Shungnak"
695,"Solomon","Solomon"
696,"Teller","Teller"
697,"Unalakleet","Unalakleet"
698,"Wainwright","Wainwright"
699,"Wales","Wales"
700,"White Mountain","White Mountain"
701,"White Mountain Inupiat","White Mountain Inupiat"
702,"Mary's Igloo","Mary's Igloo"
703,"Siberian Eskimo","Siberian Eskimo"
704,"Gambell","Gambell"
705,"Savoonga","Savoonga"
706,"Siberian Yupik","Siberian Yupik"
707,"Yupik Eskimo","Yupik Eskimo"
708,"Akiachak","Akiachak"
709,"Akiak","Akiak"
710,"Alakanuk","Alakanuk"
711,"Aleknagik","Aleknagik"
712,"Andreafsky","Andreafsky"
713,"Aniak","Aniak"
714,"Atmautluak","Atmautluak"
715,"Bethel","Bethel"
716,"Bill Moore's Slough","Bill Moore's Slough"
717,"Bristol Bay Yupik","Bristol Bay Yupik"
718,"Calista Yupik","Calista Yupik"
719,"Chefornak","Chefornak"
720,"Chevak","Chevak"
721,"Chuathbaluk","Chuathbaluk"
722,"Clark's Point","Clark's Point"
723,"Crooked Creek","Crooked Creek"
724,"Dillingham","Dillingham"
725,"Eek","Eek"
726,"Ekuk","Ekuk"
727,"Ekwok","Ekwok"
728,"Emmonak","Emmonak"
729,"Goodnews Bay","Goodnews Bay"
730,"Hooper Bay","Hooper Bay"
731,"Iqurmuit (Russian Mission)","Iqurmuit (Russian Mission)"
732,"Kalskag","Kalskag"
733,"Kasigluk","Kasigluk"
734,"Kipnuk","Kipnuk"
735,"Koliganek","Koliganek"
736,"Kongiganak","Kongiganak"
737,"Kotlik","Kotlik"
738,"Kwethluk","Kwethluk"
739,"Kwigillingok","Kwigillingok"
740,"Levelock","Levelock"
741,"Lower Kalskag","Lower Kalskag"
742,"Manokotak","Manokotak"
743,"Marshall","Marshall"
744,"Mekoryuk","Mekoryuk"
745,"Mountain Village","Mountain Village"
746,"Naknek","Naknek"
747,"Napaumute","Napaumute"
748,"Napakiak","Napakiak"
749,"Napaskiak","Napaskiak"
750,"Newhalen","Newhalen"
751,"New Stuyahok","New Stuyahok"
752,"Newtok","Newtok"
753,"Nightmute","Nightmute"
754,"Nunapitchukv","Nunapitchukv"
755,"Oscarville","Oscarville"
756,"Pilot Station","Pilot Station"
757,"Pitkas Point","Pitkas Point"
758,"Platinum","Platinum"
759,"Portage Creek","Portage Creek"
760,"Quinhagak","Quinhagak"
761,"Red Devil","Red Devil"
762,"St. Michael","St. Michael"
763,"Scammon Bay","Scammon Bay"
764,"Sheldon's Point","Sheldon's Point"
765,"Sleetmute","Sleetmute"
766,"Stebbins","Stebbins"
767,"Togiak","Togiak"
768,"Toksook","Toksook"
769,"Tulukskak","Tulukskak"
770,"Tuntutuliak","Tuntutuliak"
771,"Tununak","Tununak"
772,"Twin Hills","Twin Hills"
773,"Georgetown","Georgetown"
774,"St. Mary's","St. Mary's"
775,"Umkumiate","Umkumiate"
776,"Aleut","Aleut"
777,"Alutiiq Aleut","Alutiiq Aleut"
778,"Tatitlek","Tatitlek"
779,"Ugashik","Ugashik"
780,"Bristol Bay Aleut","Bristol Bay Aleut"
781,"Chignik","Chignik"
782,"Chignik Lake","Chignik Lake"
783,"Egegik","Egegik"
784,"Igiugig","Igiugig"
785,"Ivanof Bay","Ivanof Bay"
786,"King Salmon","King Salmon"
787,"Kokhanok","Kokhanok"
788,"Perryville","Perryville"
789,"Pilot Point","Pilot Point"
790,"Port Heiden","Port Heiden"
791,"Chugach Aleut","Chugach Aleut"
792,"Chenega","Chenega"
793,"Chugach Corporation","Chugach Corporation"
794,"English Bay","English Bay"
795,"Port Graham","Port Graham"
796,"Eyak","Eyak"
797,"Koniag Aleut","Koniag Aleut"
798,"Akhiok","Akhiok"
799,"Agdaagux","Agdaagux"
800,"Karluk","Karluk"
801,"Kodiak","Kodiak"
802,"Larsen Bay","Larsen Bay"
803,"Old Harbor","Old Harbor"
804,"Ouzinkie","Ouzinkie"
805,"Port Lions","Port Lions"
806,"Sugpiaq","Sugpiaq"
807,"Suqpigaq","Suqpigaq"
808,"Unangan Aleut","Unangan Aleut"
809,"Akutan","Akutan"
810,"Aleut Corporation","Aleut Corporation"
811,"Aleutian","Aleutian"
812,"Aleutian Islander","Aleutian Islander"
813,"Atka","Atka"
814,"Belkofski","Belkofski"
815,"Chignik Lagoon","Chignik Lagoon"
816,"King Cove","King Cove"
817,"False Pass","False Pass"
818,"Nelson Lagoon","Nelson Lagoon"
819,"Nikolski","Nikolski"
820,"Pauloff Harbor","Pauloff Harbor"
821,"Qagan Toyagungin","Qagan Toyagungin"
822,"Qawalangin","Qawalangin"
823,"St. George","St. George"
824,"St. Paul","St. Paul"
825,"Sand Point","Sand Point"
826,"South Naknek","South Naknek"
827,"Unalaska","Unalaska"
828,"Unga","Unga"
829,"Asian","Asian"
830,"Asian Indian","Asian Indian"
831,"Bangladeshi","Bangladeshi"
832,"Bhutanese","Bhutanese"
833,"Burmese","Burmese"
834,"Cambodian","Cambodian"
835,"Chinese","Chinese"
836,"Taiwanese","Taiwanese"
837,"Filipino","Filipino"
